Date,Open,High,Low,Close,Adj Close,Volume
19-10-20,537.070007,541.799988,525.380005,530.719971,530.719971,7567500
20-10-20,528.140015,533.780029,522.26001,525.419983,525.419983,10047200
21-10-20,501.029999,506.850006,488.25,489.049988,489.049988,17405700
22-10-20,494.690002,495.140015,482,485.230011,485.230011,6997900
23-10-20,488.109985,490.059998,481.350006,488.279999,488.279999,4927900
26-10-20,487.029999,496.820007,478.899994,488.23999,488.23999,6186100
27-10-20,490.01001,490.48999,482.929993,488.929993,488.929993,3627200
28-10-20,486.359985,494,483.279999,486.23999,486.23999,5992700
29-10-20,488.5,513.900024,479.339996,504.209991,504.209991,11120700
30-10-20,502.01001,505.880005,472.209991,475.73999,475.73999,7807900
02-11-20,478.869995,486.299988,475,484.119995,484.119995,4408200
03-11-20,484.929993,495.309998,478.76001,487.220001,487.220001,3690200
04-11-20,495.359985,507.730011,493.980011,496.950012,496.950012,5137300
05-11-20,506.559998,518.72998,503.450012,513.76001,513.76001,5372800
06-11-20,515,515.210022,502.51001,514.72998,514.72998,4236300
09-11-20,485.540009,495.850006,467.26001,470.5,470.5,10419700
10-11-20,470.950012,484.600006,463.410004,480.23999,480.23999,8306100
11-11-20,483,491.679993,478.26001,490.76001,490.76001,5460500
12-11-20,491,496.519989,480.429993,486.769989,486.769989,5063700
13-11-20,486.769989,488.940002,477.799988,482.839996,482.839996,3002700
16-11-20,480,485.579987,477.299988,479.100006,479.100006,3953600
17-11-20,480.119995,487.51001,478.850006,480.630005,480.630005,3698100
18-11-20,481.950012,488.609985,477.720001,481.790009,481.790009,3629200
19-11-20,482,487.799988,480.470001,484.670013,484.670013,2254700
20-11-20,485.220001,494.76001,481.570007,488.23999,488.23999,4253400
23-11-20,490.459991,491.149994,475.839996,476.619995,476.619995,5416600
24-11-20,478.839996,484.049988,475.890015,482.880005,482.880005,3550500
25-11-20,485.130005,486.899994,478.920013,485,485,3598600
27-11-20,486.579987,493.25,481.850006,491.359985,491.359985,2805800
30-11-20,490.079987,492.549988,481.269989,490.700012,490.700012,3530900
01-12-20,492.339996,509.470001,491.980011,504.579987,504.579987,5052700
02-12-20,501.619995,506.799988,493.5,503.380005,503.380005,3028400
03-12-20,502.98999,508.769989,496.040009,497.519989,497.519989,2826100
04-12-20,497.5,504.5,493.640015,498.309998,498.309998,3666200
07-12-20,500.01001,517.76001,497.769989,515.780029,515.780029,4289300
08-12-20,517.900024,521.48999,505.549988,512.659973,512.659973,4229000
09-12-20,510.529999,514.5,491.290009,493.600006,493.600006,4178800
10-12-20,494.559998,503.769989,492.910004,501.089996,501.089996,3018200
11-12-20,495,503.339996,494.850006,503.220001,503.220001,3210900
14-12-20,505.440002,524.159973,501.179993,522.419983,522.419983,5770400
15-12-20,518.5,524.700012,513.559998,519.780029,519.780029,3394900
16-12-20,520.109985,527.380005,517.690002,524.830017,524.830017,3682400
17-12-20,529,535.48999,526.440002,532.900024,532.900024,3193400
18-12-20,533.200012,536.369995,526.02002,534.450012,534.450012,4502700
21-12-20,530.049988,532.619995,521.150024,528.909973,528.909973,3894000
22-12-20,527.690002,530.400024,520.5,527.330017,527.330017,1906600
23-12-20,524.76001,526.320007,514.200012,514.47998,514.47998,2393200
24-12-20,515.119995,519.349976,512.210022,513.969971,513.969971,1144000
28-12-20,516.429993,523.659973,507.130005,519.119995,519.119995,2891900
29-12-20,519.900024,536.549988,515.47998,530.869995,530.869995,4022400
30-12-20,530.130005,533.26001,523.690002,524.590027,524.590027,1876300
31-12-20,525.530029,545.5,523.150024,540.72998,540.72998,5392300
04-01-21,539,540.799988,515.090027,522.859985,522.859985,4444400
05-01-21,521.549988,526.780029,515.890015,520.799988,520.799988,3133900
06-01-21,511.970001,513.099976,499.5,500.48999,500.48999,5346200
07-01-21,508.279999,516.440002,506.420013,508.890015,508.890015,3686400
08-01-21,511.309998,513.23999,504.51001,510.399994,510.399994,2973900
11-01-21,507.839996,510.730011,497.950012,499.100006,499.100006,3806200
12-01-21,500,501.089996,485.670013,494.25,494.25,5990400
13-01-21,495.5,512.349976,493.01001,507.790009,507.790009,5032100
14-01-21,507.350006,514.5,499.579987,500.859985,500.859985,4177400
15-01-21,500,506.320007,495.100006,497.980011,497.980011,5895800
19-01-21,501,509.25,493.540009,501.769989,501.769989,12315800
20-01-21,565.419983,593.289978,556.859985,586.340027,586.340027,32637500
21-01-21,582.450012,588.75,570.400024,579.840027,579.840027,11802100
22-01-21,582.099976,583.98999,564.349976,565.169983,565.169983,7550800
25-01-21,567,569.75,548.650024,556.780029,556.780029,7207300
26-01-21,554.72998,567.98999,554.059998,561.929993,561.929993,5023800
27-01-21,550.710022,556.419983,515.72998,523.280029,523.280029,8670300
28-01-21,535.880005,553.150024,530.73999,538.599976,538.599976,5969000
29-01-21,538,541,530.179993,532.390015,532.390015,4325300
01-02-21,536.789978,545.059998,531.72998,539.039978,539.039978,3547500
02-02-21,542.01001,555.47998,538.929993,548.159973,548.159973,3767600
03-02-21,550.169983,550.47998,538.23999,539.450012,539.450012,3172300
04-02-21,539.809998,559.47998,537.51001,552.159973,552.159973,5164500
05-02-21,552.26001,554.440002,545.47998,550.789978,550.789978,2376200
08-02-21,555,555,543.700012,547.919983,547.919983,2791700
09-02-21,546,566,543,559.070007,559.070007,3703500
10-02-21,562.5,566.650024,553.460022,563.590027,563.590027,3991300
11-02-21,564.440002,565.929993,554.219971,557.590027,557.590027,2730600
12-02-21,556.940002,561.25,550.849976,556.52002,556.52002,2197100
16-02-21,557.289978,563.630005,552.72998,557.280029,557.280029,2624100
17-02-21,550.98999,555.25,543.030029,551.340027,551.340027,2069600
18-02-21,549,550,538.22998,548.219971,548.219971,2456200
19-02-21,548,548.98999,538.809998,540.219971,540.219971,2841500
22-02-21,534.98999,541.789978,530.789978,533.780029,533.780029,3078600
23-02-21,525,548.539978,518.280029,546.150024,546.150024,4136500
24-02-21,539.799988,556.849976,539.070007,553.409973,553.409973,3245000
25-02-21,550.27002,556.47998,535.75,546.700012,546.700012,4252900
26-02-21,546.51001,553.090027,538,538.849976,538.849976,3755600
01-03-21,545.570007,552.140015,542,550.640015,550.640015,3041400
02-03-21,553.340027,556.98999,546.02002,547.820007,547.820007,3042200
03-03-21,545.929993,548.01001,517.809998,520.700012,520.700012,5362400
04-03-21,521.5,531.5,507.679993,511.290009,511.290009,5034800
05-03-21,511.980011,517.76001,498.790009,516.390015,516.390015,5070000
08-03-21,514.460022,518.840027,492.850006,493.329987,493.329987,3981800
09-03-21,507.309998,513.109985,503.820007,506.440002,506.440002,3470000
10-03-21,513.5,518.969971,504.25,504.540009,504.540009,3771500
11-03-21,512.200012,530.23999,510.709991,523.059998,523.059998,4714500
12-03-21,512.5,526.51001,506.589996,518.02002,518.02002,3981700
15-03-21,516.320007,520.72998,508.029999,520.25,520.25,3484300
16-03-21,524.469971,533.419983,523.210022,524.030029,524.030029,3238900
17-03-21,522,528.369995,514.299988,524.440002,524.440002,2817400
18-03-21,516.400024,517.900024,503.850006,504.790009,504.790009,4094500
19-03-21,504.959991,513.190002,501.630005,512.179993,512.179993,4386400
22-03-21,509.130005,529.309998,509.130005,523.109985,523.109985,3360600
23-03-21,529.869995,543.119995,529.400024,535.090027,535.090027,5583500
24-03-21,533.780029,534.419983,520,520.809998,520.809998,4102200
25-03-21,516.98999,518.530029,497,502.859985,502.859985,4926800
26-03-21,502.820007,508.720001,496.679993,508.049988,508.049988,3467800
29-03-21,505.660004,518,504.399994,513.950012,513.950012,3330000
30-03-21,510.51001,514.409973,506.910004,513.390015,513.390015,2418100
31-03-21,515.669983,528.130005,515.440002,521.659973,521.659973,3503100
01-04-21,529.929993,540.5,527.030029,539.419983,539.419983,3938600
05-04-21,540.01001,542.849976,529.22998,540.669983,540.669983,3355900
06-04-21,544.809998,554.169983,543.299988,544.530029,544.530029,3474200
07-04-21,543.5,549.640015,541.450012,546.98999,546.98999,2151300
08-04-21,551.130005,556.900024,547.570007,554.580017,554.580017,4309800
09-04-21,552.690002,556.900024,547.109985,555.309998,555.309998,2894000
12-04-21,551.049988,557.97998,549.580017,552.780029,552.780029,2944100
13-04-21,557,559.75,550.299988,553.72998,553.72998,2720300
14-04-21,554.869995,554.869995,538.530029,540.02002,540.02002,3740300
15-04-21,544.169983,553.48999,542.659973,549.219971,549.219971,3139100
16-04-21,550.539978,551.97998,539.51001,546.539978,546.539978,3209100
19-04-21,546.900024,556.440002,545.530029,554.440002,554.440002,4288700
20-04-21,554.419983,563.559998,546.299988,549.570007,549.570007,11257600
21-04-21,508,515.460022,503.600006,508.899994,508.899994,22897400
22-04-21,513.820007,513.960022,500.549988,508.779999,508.779999,9061100
23-04-21,509.01001,509.700012,500.700012,505.549988,505.549988,7307700
26-04-21,506.76001,510.480011,503,510.299988,510.299988,4388800
27-04-21,512.619995,512.98999,504.579987,505.549988,505.549988,3761300
28-04-21,505.200012,508.399994,503.339996,506.519989,506.519989,3193000
29-04-21,507.600006,509.290009,499,509,509,5127800
30-04-21,505,514.549988,505,513.469971,513.469971,4413200
03-05-21,512.650024,518.950012,505.200012,509.109985,509.109985,4091900
04-05-21,510.779999,511.630005,496.790009,503.179993,503.179993,4349500
05-05-21,504.98999,507.779999,494.630005,496.079987,496.079987,3129400
06-05-21,495.98999,499.549988,491.369995,499.549988,499.549988,3783700
07-05-21,504.619995,508.549988,501.119995,503.839996,503.839996,3132800
10-05-21,502,503.149994,486.109985,486.690002,486.690002,5131600
11-05-21,479.75,497.98999,478.630005,495.079987,495.079987,4401000
12-05-21,486.829987,493.540009,482.700012,484.980011,484.980011,4121500
13-05-21,489.130005,490.779999,482.709991,486.660004,486.660004,2712500
14-05-21,487.859985,494.850006,486.589996,493.369995,493.369995,2882500
17-05-21,485.589996,492.709991,482.809998,488.940002,488.940002,2705200
18-05-21,488.399994,493.480011,486.190002,486.279999,486.279999,2350500
19-05-21,481.630005,488.570007,478.540009,487.700012,487.700012,3349900
20-05-21,489.549988,502.700012,488.980011,501.670013,501.670013,3721200
21-05-21,503.119995,505.399994,497.26001,497.890015,497.890015,3322900
24-05-21,501.049988,504.25,499.51001,502.899994,502.899994,2412600
25-05-21,506,506.369995,499.220001,501.339996,501.339996,2699500
26-05-21,502.339996,504.140015,500.5,502.359985,502.359985,2465300
27-05-21,501.799988,505.100006,498.540009,503.859985,503.859985,3253800
28-05-21,504.399994,511.76001,502.529999,502.809998,502.809998,2910300
01-06-21,504.01001,505.410004,497.73999,499.079987,499.079987,2482600
02-06-21,499.820007,503.220001,495.820007,499.23999,499.23999,2269000
03-06-21,495.190002,496.660004,487.25,489.429993,489.429993,3887400
04-06-21,492,501.859985,490.950012,494.73999,494.73999,3160500
07-06-21,492.920013,496.700012,490.549988,494.660004,494.660004,2791900
08-06-21,497,498.820007,489.369995,492.390015,492.390015,2374000
09-06-21,494.5,496.089996,484.649994,485.809998,485.809998,3055000
10-06-21,487.170013,490.209991,482.140015,487.269989,487.269989,4382900
11-06-21,490,491.410004,487.779999,488.769989,488.769989,3124000
14-06-21,489.679993,503.5,486.910004,499.890015,499.890015,4400200
15-06-21,501.230011,501.230011,490.399994,491.899994,491.899994,3104100
16-06-21,495,496.459991,486.279999,492.410004,492.410004,3533200
17-06-21,490.25,501.799988,490.149994,498.339996,498.339996,3198300
18-06-21,496.399994,504.48999,495.23999,500.769989,500.769989,5197600
21-06-21,501.640015,502.049988,492.279999,497,497,5277300
22-06-21,498.540009,513.549988,495.799988,508.820007,508.820007,5809300
23-06-21,508.480011,516.630005,508.200012,512.73999,512.73999,3944800
24-06-21,517.960022,520.960022,514.400024,518.059998,518.059998,3361200
25-06-21,528.840027,533.059998,525,527.070007,527.070007,5299100
28-06-21,528.119995,533.940002,524.559998,533.030029,533.030029,2820200
29-06-21,533.549988,536.130005,528.570007,533.5,533.5,2314600
30-06-21,534.059998,534.380005,526.820007,528.210022,528.210022,2773400
01-07-21,525.719971,537.039978,525.719971,533.539978,533.539978,2805400
02-07-21,535.5,538.539978,529.390015,533.97998,533.97998,1975500
06-07-21,533,542.859985,533,541.640015,541.640015,2775100
07-07-21,544.23999,544.640015,531.659973,535.960022,535.960022,2722500
08-07-21,530.929993,535.5,529.090027,530.76001,530.76001,3269000
09-07-21,531,538.26001,528.580017,535.97998,535.97998,2777200
12-07-21,540.299988,540.650024,532.919983,537.309998,537.309998,1780700
13-07-21,535.76001,545.330017,535.76001,540.679993,540.679993,2751600
14-07-21,541.01001,554.099976,541.01001,547.950012,547.950012,4659500
15-07-21,553.969971,557.539978,538.200012,542.950012,542.950012,5713900
16-07-21,541.809998,544.059998,527.049988,530.309998,530.309998,3442100
19-07-21,526.049988,534.909973,522.23999,532.280029,532.280029,3885800
20-07-21,526.070007,536.640015,520.299988,531.049988,531.049988,6930400
21-07-21,526.130005,530.98999,505.609985,513.630005,513.630005,11906800
22-07-21,510.209991,513.679993,507,511.769989,511.769989,4328100
23-07-21,512.159973,517.409973,504.660004,515.409973,515.409973,3820500
26-07-21,514.380005,521.130005,509.01001,516.48999,516.48999,2254500
27-07-21,518.080017,521.950012,512.049988,518.909973,518.909973,2759000
28-07-21,521.820007,524.469971,516.97998,519.299988,519.299988,2390500
29-07-21,519.960022,520.780029,513.789978,514.25,514.25,1736000
30-07-21,512.690002,519.789978,510.959991,517.570007,517.570007,2537100
02-08-21,519,519.849976,510.51001,515.150024,515.150024,2096600
03-08-21,514.390015,515.630005,505.369995,510.820007,510.820007,2579400
04-08-21,513,517.97998,510.369995,517.349976,517.349976,2039400
05-08-21,517.130005,525.409973,514.02002,524.890015,524.890015,2556700
06-08-21,524,526.840027,519.390015,520.549988,520.549988,1919800
09-08-21,521.150024,522.669983,517.98999,519.969971,519.969971,1367800
10-08-21,520,520.789978,512.969971,515.840027,515.840027,1960500
11-08-21,517,519.570007,509.769989,512.400024,512.400024,1673900
12-08-21,511.859985,513,507.200012,510.720001,510.720001,1685700
13-08-21,512.640015,521.440002,511.51001,515.919983,515.919983,2177700
16-08-21,515.23999,523.380005,512.299988,517.919983,517.919983,2032800
17-08-21,515.469971,520.789978,514.200012,518.909973,518.909973,2309800
18-08-21,520,526.380005,518.650024,521.869995,521.869995,2582000
19-08-21,522.73999,548.390015,521.869995,543.710022,543.710022,7497300
20-08-21,545.090027,551.390015,539.099976,546.880005,546.880005,3776400
23-08-21,545.97998,555.549988,543.73999,553.330017,553.330017,2602000
24-08-21,551.47998,555.309998,549.27002,553.409973,553.409973,2109500
25-08-21,550.159973,552.840027,545.450012,547.580017,547.580017,2065600
26-08-21,546.159973,552.599976,545.900024,550.119995,550.119995,1595500
27-08-21,551.599976,564.169983,549.25,558.919983,558.919983,3252600
30-08-21,557.25,567.159973,556.450012,566.179993,566.179993,2434800
31-08-21,566.119995,569.47998,561.609985,569.190002,569.190002,2431900
01-09-21,569,591,569,582.070007,582.070007,5626200
02-09-21,583.679993,598.76001,583.679993,588.549988,588.549988,6179900
03-09-21,585.799988,591.880005,583.140015,590.530029,590.530029,2681200
07-09-21,594.690002,613.849976,593.98999,606.710022,606.710022,5821400
08-09-21,603.840027,615.599976,595.710022,606.049988,606.049988,5424500
09-09-21,606.469971,609.440002,596.549988,597.539978,597.539978,2954200
10-09-21,598.159973,609.450012,593.669983,598.719971,598.719971,3950800
13-09-21,598.570007,598.570007,582.780029,589.289978,589.289978,3062900
14-09-21,584.890015,587.280029,575.559998,577.76001,577.76001,3457000
15-09-21,578.169983,584.619995,575.369995,582.869995,582.869995,2755600
16-09-21,584.299988,587.47998,577.719971,586.5,586.5,1832000
17-09-21,587.849976,590.280029,580.849976,589.349976,589.349976,4145100
20-09-21,586.789978,591.530029,568.080017,575.429993,575.429993,3732200
21-09-21,578.309998,581.880005,569.369995,573.140015,573.140015,2250900
22-09-21,579.690002,595.650024,579.690002,590.650024,590.650024,4021800
23-09-21,590.789978,599.320007,589.130005,593.26001,593.26001,2526200
24-09-21,592.5,592.97998,583.640015,592.390015,592.390015,2126200
27-09-21,587.950012,593.580017,576.929993,592.640015,592.640015,2504700
28-09-21,589,599.539978,580.159973,583.849976,583.849976,4431100
29-09-21,589.01001,609.880005,588.01001,599.059998,599.059998,6221000
30-09-21,608.049988,619,608.049988,610.340027,610.340027,6612600
01-10-21,604.23999,614.98999,597.51001,613.150024,613.150024,4090800
04-10-21,613.390015,626.130005,594.679993,603.349976,603.349976,4995900
05-10-21,606.940002,640.390015,606.890015,634.809998,634.809998,9534300
06-10-21,628.179993,639.869995,626.359985,639.099976,639.099976,4580400
07-10-21,642.22998,646.840027,630.450012,631.849976,631.849976,3556900
08-10-21,634.169983,643.799988,630.859985,632.659973,632.659973,3272100
11-10-21,633.200012,639.419983,626.780029,627.039978,627.039978,2862500
12-10-21,633.02002,637.659973,621.98999,624.940002,624.940002,3227300
13-10-21,632.179993,632.179993,622.099976,629.76001,629.76001,2420300
14-10-21,632.22998,636.880005,626.789978,633.799988,633.799988,2671700
15-10-21,638,639.419983,625.159973,628.289978,628.289978,4116900
18-10-21,632.099976,638.409973,620.590027,637.969971,637.969971,4669100
19-10-21,636.969971,641,632.299988,639,639,7633100
20-10-21,625.570007,637.400024,617.150024,625.140015,625.140015,10622000
21-10-21,628.890015,654.01001,628.650024,653.159973,653.159973,8437100
22-10-21,651.809998,665.460022,651.809998,664.780029,664.780029,6186000
25-10-21,663.73999,675.880005,657.070007,671.659973,671.659973,3833500
26-10-21,673.76001,676.48999,662.77002,668.52002,668.52002,2904800
27-10-21,669,671.409973,661.849976,662.919983,662.919983,2276900
28-10-21,670.950012,676.799988,668.030029,674.049988,674.049988,2859400
29-10-21,673.059998,690.969971,671.23999,690.309998,690.309998,3825300
01-11-21,689.059998,689.969971,676.539978,681.169983,681.169983,3110900
02-11-21,683.109985,687.679993,673.820007,677.719971,677.719971,3888600
03-11-21,677.27002,689.390015,677.27002,688.289978,688.289978,2334900
04-11-21,685.890015,685.940002,665.5,668.400024,668.400024,4865000
05-11-21,663.969971,665.640015,645.01001,645.719971,645.719971,5283500
08-11-21,650.289978,656,643.789978,651.450012,651.450012,2887500
09-11-21,653.700012,660.5,650.52002,655.98999,655.98999,2415600
10-11-21,653.01001,660.330017,642.109985,646.909973,646.909973,2405800
11-11-21,650.23999,665.820007,649.710022,657.580017,657.580017,2868300
12-11-21,660.01001,683.340027,653.820007,682.609985,682.609985,4198400
15-11-21,681.23999,685.26001,671.48999,679.330017,679.330017,2872200
16-11-21,678.27002,688.359985,676.900024,687.400024,687.400024,2077400
17-11-21,690,700.98999,686.090027,691.690002,691.690002,2732800
18-11-21,691.609985,691.73999,679.73999,682.02002,682.02002,2012900
19-11-21,692.349976,694.159973,675,678.799988,678.799988,2613700
22-11-21,676.02002,679.47998,656.469971,659.200012,659.200012,2764400
23-11-21,658.179993,666.429993,646.049988,654.059998,654.059998,2320200
24-11-21,658.01001,661.440002,651.099976,658.289978,658.289978,1867300
26-11-21,675,676.409973,660.669983,665.640015,665.640015,2872500
29-11-21,663.200012,667.98999,658.289978,663.840027,663.840027,2529400
30-11-21,668.200012,675.380005,640.01001,641.900024,641.900024,5608900
01-12-21,649.47998,654.52002,617.070007,617.77002,617.77002,3882800
02-12-21,617.099976,625.359985,612.880005,616.469971,616.469971,3331100
03-12-21,622.75,625.5,594,602.130005,602.130005,4829300
06-12-21,606.01001,617.289978,601,612.690002,612.690002,3075700
07-12-21,619.830017,628.890015,611.400024,625.580017,625.580017,3125200
08-12-21,630,632.460022,623.200012,628.080017,628.080017,2220300
09-12-21,627.580017,630.23999,610.440002,611,611,2376300
10-12-21,616.780029,617.73999,605.880005,611.659973,611.659973,2748800
13-12-21,612,612.640015,599.52002,604.559998,604.559998,2517900
14-12-21,598.710022,602.289978,588.130005,597.98999,597.98999,2984500
15-12-21,598.179993,605.690002,584.51001,605.039978,605.039978,2866200
16-12-21,597.090027,602.830017,588,591.059998,591.059998,3143200
17-12-21,591.609985,593.25,581.73999,586.72998,586.72998,4386900
20-12-21,586.429993,602.880005,584.26001,593.73999,593.73999,3358400
21-12-21,597.539978,607.820007,593.859985,604.919983,604.919983,2319400
22-12-21,603.359985,614.820007,602.630005,614.23999,614.23999,2335700
23-12-21,616.400024,616.880005,607.570007,614.090027,614.090027,1621100
27-12-21,615,615,609.25,613.119995,613.119995,2061500
28-12-21,614.950012,618.409973,609.690002,610.710022,610.710022,1882800
29-12-21,610.710022,613.97998,604.679993,610.539978,610.539978,1287200
30-12-21,612.98999,620.609985,611.23999,612.090027,612.090027,1625100
31-12-21,610.01001,614.080017,602.049988,602.440002,602.440002,1995900
03-01-22,605.609985,609.98999,590.559998,597.369995,597.369995,3067500
04-01-22,599.909973,600.409973,581.599976,591.150024,591.150024,4393100
05-01-22,592,592.840027,566.880005,567.52002,567.52002,4148700
06-01-22,554.340027,563.359985,542.01001,553.289978,553.289978,5711800
07-01-22,549.460022,553.429993,538.219971,541.059998,541.059998,3382900
10-01-22,538.48999,543.690002,526.320007,539.849976,539.849976,4486100
11-01-22,536.98999,543.909973,530.070007,540.840027,540.840027,3077800
12-01-22,544.27002,544.27002,532.02002,537.219971,537.219971,3787400
13-01-22,537.059998,540.789978,518.26001,519.200012,519.200012,4475100
14-01-22,517.599976,538.369995,511.880005,525.690002,525.690002,7861100
18-01-22,520.080017,521.75,508.679993,510.799988,510.799988,4839100
19-01-22,515,523.210022,510.51001,515.859985,515.859985,4353500
20-01-22,517.75,526.640015,506.929993,508.25,508.25,12659000
21-01-22,400.429993,409.149994,379.98999,397.5,397.5,58904300
24-01-22,383.910004,387.26001,351.459991,387.149994,387.149994,32346000
25-01-22,379.140015,387.709991,365.130005,366.420013,366.420013,15145800
26-01-22,378.269989,382.660004,356.619995,359.700012,359.700012,12684000
27-01-22,382.059998,394.799988,378.100006,386.700012,386.700012,24324700
28-01-22,386.76001,387,372.079987,384.359985,384.359985,11966600
31-01-22,401.970001,427.700012,398.200012,427.140015,427.140015,20047500
01-02-22,432.959991,458.480011,425.540009,457.130005,457.130005,22568100
02-02-22,448.25,451.980011,426.480011,429.480011,429.480011,14346000
03-02-22,421.440002,429.26001,404.279999,405.600006,405.600006,9905200
04-02-22,407.309998,412.769989,396.640015,410.170013,410.170013,7789800
07-02-22,410.170013,412.350006,393.549988,402.100006,402.100006,8232900
08-02-22,398.179993,406.609985,395.829987,403.529999,403.529999,6818500
09-02-22,408.649994,412.980011,398.790009,412.890015,412.890015,7738200
10-02-22,402.100006,408,396.359985,406.269989,406.269989,8452900
11-02-22,405.329987,411.609985,387.649994,391.309998,391.309998,7558900
14-02-22,387.589996,409.359985,386.890015,396.570007,396.570007,7202200
15-02-22,403.790009,409.160004,401.01001,407.459991,407.459991,5392300
16-02-22,401.529999,401.559998,390.380005,398.079987,398.079987,5277700
17-02-22,394.23999,399.109985,385.700012,386.670013,386.670013,4669200
18-02-22,392.529999,402.869995,389.049988,391.290009,391.290009,6801700
22-02-22,388.950012,392.420013,373.019989,377.380005,377.380005,6697500
23-02-22,382.720001,386,366.660004,367.459991,367.459991,4614300
24-02-22,355.089996,390.730011,354.720001,390.029999,390.029999,7068700
25-02-22,386.609985,391.290009,375.579987,390.799988,390.799988,4841600
28-02-22,387.329987,397.75,382.130005,394.519989,394.519989,5035000
01-03-22,391.600006,395,383.709991,386.23999,386.23999,3290400
02-03-22,388.929993,389.220001,375.209991,380.029999,380.029999,5356800
03-03-22,386,386.119995,364.649994,368.070007,368.070007,6076800
04-03-22,368,374.820007,357.170013,361.730011,361.730011,5325500
07-03-22,360.410004,362,350.200012,350.26001,350.26001,5708400
08-03-22,349.799988,358.859985,340.670013,341.76001,341.76001,6428700
09-03-22,357.690002,364.140015,350.51001,358.790009,358.790009,6520200
10-03-22,356.200012,367.019989,353.299988,356.769989,356.769989,4807800
11-03-22,361.190002,363.359985,340,340.320007,340.320007,4819900
14-03-22,338.720001,341.320007,329.820007,331.01001,331.01001,5907800
15-03-22,335.100006,345.359985,332.359985,343.75,343.75,5460600
16-03-22,348.200012,359.98999,343.059998,357.529999,357.529999,6982500
17-03-22,359.700012,373.309998,354.880005,371.399994,371.399994,5818300
18-03-22,372,381.799988,368.470001,380.600006,380.600006,8324800
21-03-22,378.019989,381.820007,368.940002,374.589996,374.589996,4866500
22-03-22,371.140015,386.660004,366.76001,382.920013,382.920013,4242800
23-03-22,379.769989,382.459991,374.48999,374.48999,374.48999,3729000
24-03-22,379.76001,379.76001,368.899994,375.709991,375.709991,3888500
25-03-22,377.070007,377.640015,366.429993,373.850006,373.850006,3574500
28-03-22,375.230011,380.279999,366.730011,378.51001,378.51001,4323400
29-03-22,384.390015,396.5,380.329987,391.820007,391.820007,5880700
30-03-22,389.549988,392.700012,378.630005,381.470001,381.470001,4023300
31-03-22,383.589996,384,373.609985,374.589996,374.589996,4134700
01-04-22,376.799988,380.869995,368.5,373.470001,373.470001,4644200
04-04-22,373.549988,396.019989,373.130005,391.5,391.5,7001800
05-04-22,389.299988,390,377.309998,380.149994,380.149994,4234500
06-04-22,374.149994,376.470001,362.730011,368.350006,368.350006,4354900
07-04-22,365,368.540009,353.690002,362.149994,362.149994,4948900
08-04-22,361.959991,362.5,354.869995,355.880005,355.880005,4025200
11-04-22,350,354.779999,345.200012,348,348,3777100
12-04-22,355.910004,359.410004,342.25,344.100006,344.100006,3824300
13-04-22,343.920013,352,341.160004,350.429993,350.429993,3231000
14-04-22,350.950012,352,339.859985,341.130005,341.130005,4343800
18-04-22,340,342.359985,331.619995,337.859985,337.859985,5105000
19-04-22,333.220001,351.679993,333.220001,348.609985,348.609985,20906900
